what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044622818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044625080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044713404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044713420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044713420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044716087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044789475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044789490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044789490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044794549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044812368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044812384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044812384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044815973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044839102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044841723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044867554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044867570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044867570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044869020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044874702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044875544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044895760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044898881
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1419044914045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044914827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044914827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419044914827
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1419044915124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044926644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044932403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419044986025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045006681
error,log,,,"Exception while reading /SimpleAddressBookHbmV3-Age/.classpath",1419045055700
error,log,,,"Exception while reading /SimpleAddressBookHbmV3-Age/.classpath",1419045055700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045055778
error,log,,,"Exception while reading /SimpleAddressBookHbmV3-Age/.classpath",1419045073326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045073342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045083722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045104496
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045104512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045104559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045105885
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045105900
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045105900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045105932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045106402
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045106417
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045106417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045106464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045106994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045106994
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045106994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045107057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045107494
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045107494
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045107494
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1419045107556
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045107556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045110933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045139049
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1419045140235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045144812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045145717
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1419045145717
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1419045151443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045152723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045155421
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419045155437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1419045155437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045173775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045182651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1419045182651
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1419045185164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045193479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045195820
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1419045195820
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1419045205871
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045206167
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045206214
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1419045214232
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045247813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045250823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045254021
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1419045254037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1419045258188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1419045259638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1419045260918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045266176
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1419045268019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045268034
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419045268050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1419045268050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045269548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045270158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045275087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419045285432
