what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1418439460029
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1418439658388
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1418439666250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440841010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440857351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440860771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440939541
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1418440939572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440942474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440947622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1418440947622
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1418440948058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440951086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418440977478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1418440977494
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1418440983862
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1418440983877
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1418440983924
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1418440983924
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1418440991949
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1418440994148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1418440995710
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1418440997286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441006242
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1418441008379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441009050
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1418441009066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441013404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441014730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1418441014745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441016882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441048405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1418441048420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441051683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1418441073625
